Species Common Name,Response Type,Total Incidents 2010,Total Incidents 2011,Total Incidents 2012,Total Incidents 2013,Total Incidents 2014,Total Incidents 2015,Total Incidents 2016,Total Incidents 2017,Total Incidents 2018,Total Incidents 2019,Total Incidents 2020,Total Incidents 2021
Black-tailed prairie dog,Issue Prohibited Activity Order,1,,,,,,,,,,,
Deer Mouse,Issue Prohibited Activity Order,,,,,,,1,,,,,
Domestic Dog,Issue Prohibited Activity Order,,,,,1,,,,,,,
Grizzly Bear,Issue Prohibited Activity Order,3,,1,,5,4,7,,,1,,
None,Issue Prohibited Activity Order,,,1,,,,,1,,1,,
Red Squirrel,Issue Prohibited Activity Order,,,,,,,1,,,,,
Woodrat,Issue Prohibited Activity Order,,,,,,,1,,,,,
American Robin,Issue Restricted Activity Order,,,,,,,,,1,,,
Barn Swallow,Issue Restricted Activity Order,,,,,,,,1,,,1,
Black Bear,Issue Restricted Activity Order,,,,,1,,,3,,1,1,
Black Swift,Issue Restricted Activity Order,,,,,,,,,,1,1,1
Burrowing Owl,Issue Restricted Activity Order,,,,1,,,,,,,,
Caribou,Issue Restricted Activity Order,,,,,,,,,,,,1
Columbian Ground Squirrel,Issue Restricted Activity Order,,,,,,,,,2,,,1
Coyote,Issue Restricted Activity Order,,,,,,,,,,,1,
Domestic Dog,Issue Restricted Activity Order,,,2,,,,,1,,,,
Elk,Issue Restricted Activity Order,,,,,,,,,,,,1
Greater Sage-grouse,Issue Restricted Activity Order,,,,,1,,,,,,,
Grizzly Bear,Issue Restricted Activity Order,1,1,1,3,,2,,3,6,6,6,3
Marten,Issue Restricted Activity Order,,1,,,1,,,,,,,
None,Issue Restricted Activity Order,,,,,,,2,6,,,3,3
Plains Bison,Issue Restricted Activity Order,,,,,,,,,,1,,
Raven,Issue Restricted Activity Order,1,,,,,,,,,,,
Red Squirrel,Issue Restricted Activity Order,,,,,,1,,,,,,
Unknown bear,Issue Restricted Activity Order,,,,,,,,,1,1,2,2
Wolf,Issue Restricted Activity Order,,,,,,,,2,,,1,
Woodrat,Issue Restricted Activity Order,,,,,1,,,,,,,
Black Bear,Issue Stop Work Order,,,,,,,,1,,,,
Raven,Issue Stop Work Order,,,,,,,,1,,,,
Unknown bird,Issue Stop Work Order,,,,,,,,1,,,,
American Coot,Leave on Landscape,,,,,,,,,3,,,
American Robin,Leave on Landscape,,,,,,,,1,,1,1,1
American Toad,Leave on Landscape,,,1,1,,,,,,,,
Ant,Leave on Landscape,,,,,,,,,,,1,
Atlantic White-sided Dolphin,Leave on Landscape,,,,,,,,,1,,,
Badger,Leave on Landscape,1,,,,,,,1,,,,
Bald Eagle,Leave on Landscape,,,,,,,,2,1,,,
Barn Swallow,Leave on Landscape,,,,,,,,,2,,,
Barred Owl,Leave on Landscape,,,,,,,,,1,,1,
Beaver,Leave on Landscape,,,,,,,,2,,1,,1
Big Brown Bat,Leave on Landscape,,,,,,,,,,,1,
Big Skate,Leave on Landscape,,,,,,,,,,,,1
Bighorn Sheep,Leave on Landscape,,,,,,,,4,7,2,7,4
Black Bear,Leave on Landscape,,,,,,,,9,4,8,5,1
Black-tailed deer,Leave on Landscape,,,,,,,,,2,1,,2
Black-tailed prairie dog,Leave on Landscape,,,1,,,1,13,15,6,4,10,
Blue Grouse,Leave on Landscape,,,,,,,,1,,1,,
Bobcat,Leave on Landscape,,,,,,,,,,1,,
Bullsnake,Leave on Landscape,,,,,,,2,,,,,
California Sea Lion,Leave on Landscape,,,,,,,,1,,,1,1
Canada Goose,Leave on Landscape,,,,,,,,,2,1,,2
Caribou,Leave on Landscape,,,,,,,,,1,,,
Cedar Waxwing,Leave on Landscape,,,,,,,,,1,,,
Columbian Ground Squirrel,Leave on Landscape,,,,,,,,,1,1,1,6
Common Gartersnake,Leave on Landscape,1,,3,2,,,,1,,2,1,1
Common Goldeneye,Leave on Landscape,,,,,,,,,,1,,
Cooper's Hawk,Leave on Landscape,,,,,,,,1,,,,
Cougar,Leave on Landscape,,,,,,,,,2,4,5,6
Coyote,Leave on Landscape,,,,,,,,6,9,6,5,8
Crow,Leave on Landscape,,,,,,,,1,2,2,2,2
Deer Mouse,Leave on Landscape,,,,,,,,,,1,,
DeKay's Brownsnake,Leave on Landscape,1,,3,3,,,,,,,,
Domestic Cat,Leave on Landscape,,,,,,,,,,,1,
Domestic Dog,Leave on Landscape,,,,,,,,,,1,,
Domestic Horse,Leave on Landscape,,,,,,,,,1,1,,
Double-crested Cormorant,Leave on Landscape,,,,,,,,,,,,1
Eastern Foxsnake,Leave on Landscape,1,,,,,,,,,,,
Elk,Leave on Landscape,,,,,,,,13,8,9,19,23
Fisher,Leave on Landscape,,,,,,,,,,,,1
Golden-crowned Kinglet,Leave on Landscape,,,,1,,,,,,,,1
Great Blue Heron,Leave on Landscape,,,1,,,,,,,,,
Great Grey Owl,Leave on Landscape,,,,,,,,1,,1,1,
Grey Seal,Leave on Landscape,,,,,,,,1,1,,,
Grey Whale,Leave on Landscape,,,,,,,,,,3,,
Grizzly Bear,Leave on Landscape,,,,,,,,1,,1,1,1
Harbour Porpoise,Leave on Landscape,,,,,,,,2,,3,,1
Harbour seal,Leave on Landscape,,,,,,,,3,1,4,2,
Hoary Marmot,Leave on Landscape,,,,,,,,,,1,,2
House Sparrow,Leave on Landscape,,,,,,,,,,,,1
Jackrabbit,Leave on Landscape,,,,,1,,,1,,,1,
Least Weasel,Leave on Landscape,,,,,,,,,,1,,
Long-eared Owl,Leave on Landscape,,,,,,,,1,,,,
Lynx,Leave on Landscape,,,,,,,,1,1,1,,
Magpie,Leave on Landscape,,,,,,,,1,1,1,,3
Mallard,Leave on Landscape,,,,,,,,,1,1,1,
Marten,Leave on Landscape,,,,,,,,,1,5,3,4
Massasauga,Leave on Landscape,10,,,,,6,7,,,,,
Mink,Leave on Landscape,,,,,,,,,1,1,1,3
Minke Whale,Leave on Landscape,,,,,,,,,,1,,
Moose,Leave on Landscape,,,,,,,,3,2,5,5,4
Mountain Goat,Leave on Landscape,,,,,,,,2,1,2,1,4
Mule Deer,Leave on Landscape,,1,,,1,,,12,11,10,24,15
Muskrat,Leave on Landscape,,,,,,,,,,,2,
None,Leave on Landscape,,,,,,,,,,1,,2
Northern Elephant Seal,Leave on Landscape,,,,,,,,,,2,,
Northern Flying Squirrel,Leave on Landscape,,,,,,,,,,1,,
Northern Gannet,Leave on Landscape,,,,,,,,1,1,1,2,1
Northern Saw-whet Owl,Leave on Landscape,,,,,,,,,,,1,
Pacific Salmon,Leave on Landscape,,,,,,,,,,,1,
Peregrine Falcon,Leave on Landscape,,,,,,,,,,1,,
Plains Bison,Leave on Landscape,,,,,,,,1,1,2,,
Plains Gartersnake,Leave on Landscape,,,,5,5,1,3,1,2,1,,
Porcupine,Leave on Landscape,,,,,3,,,8,5,4,14,10
Prairie Rattlesnake,Leave on Landscape,,,2,,,1,1,4,,,1,
Pronghorn,Leave on Landscape,,,,,,,,,1,,,
Raccoon,Leave on Landscape,,,,,,,,2,2,,1,4
Raven,Leave on Landscape,,,,,,,,,1,,3,2
Red Fox,Leave on Landscape,,,,,,,,4,2,5,5,5
Red Squirrel,Leave on Landscape,,,1,,,,,,2,,3,3
Red-breasted Merganser,Leave on Landscape,,,,,,,,1,,,,
Red-necked Grebe,Leave on Landscape,,,,,,,,,,,1,
Red-tailed Hawk,Leave on Landscape,,,,,,,,,,,1,
Richardson's Ground Squirrel,Leave on Landscape,,,,,,3,,13,6,3,7,
Ring-necked Pheasant,Leave on Landscape,,,,,,,,2,,,,
River Otter,Leave on Landscape,,,,,,,,,,,2,
Rock Pigeon,Leave on Landscape,,,,,,,,,,,,1
Ruffed Grouse,Leave on Landscape,,,,,,,,,,3,1,2
Salmon Shark,Leave on Landscape,,,,,,,,,,5,,
Sea Otter,Leave on Landscape,,,,,,,,,1,,,1
Semipalmated Plover,Leave on Landscape,,,,,,,,,,,,1
Sharp-shinned Hawk,Leave on Landscape,,,,,,,,,,1,,
Skunk,Leave on Landscape,,,,,,,,1,1,,2,6
Snapping Turtle,Leave on Landscape,,,1,,,,,,,,,
Snowshoe Hare,Leave on Landscape,,,,,,,,7,2,2,2,5
Spruce Grouse,Leave on Landscape,,,,,,,,,,,,1
Steller Sea Lion,Leave on Landscape,,,,,,,,1,2,3,2,1
Swainson's Thrush,Leave on Landscape,,,,,,,,,1,,,1
Thirteen-lined Ground Squirrel,Leave on Landscape,,,,,,,,,,,1,
Unknown,Leave on Landscape,,,,,,,2,,,,1,1
Unknown bat,Leave on Landscape,,,,,,,,,,1,,
Unknown bird,Leave on Landscape,,,,,,,1,4,4,3,2,3
Unknown Bison,Leave on Landscape,,,1,,,,,,,,,
Unknown deer,Leave on Landscape,,,,,,,,,1,2,8,6
Unknown Duck,Leave on Landscape,,,,,,,,1,,1,,1
Unknown grouse,Leave on Landscape,,,,,,,,2,1,,,
Unknown gull,Leave on Landscape,,,,,,,,,1,,2,1
Unknown Myotis bat,Leave on Landscape,,,,,,,,,,1,,
Unknown owl,Leave on Landscape,,,,,,,,,,,,1
Unknown sea lion,Leave on Landscape,,,,,,,,,,1,,1
Unknown shrew,Leave on Landscape,,,,,,,,,,,,1
Unknown snake,Leave on Landscape,1,,2,1,,,,,,,,
Unknown whale,Leave on Landscape,,,,,,,,1,,,,
Wasp,Leave on Landscape,,,,,,,,,,,1,
Western Painted Turtle,Leave on Landscape,,,1,,,,,,,,,
Western Toad,Leave on Landscape,,,,,,,,,4,1,,
White-tailed Deer,Leave on Landscape,,,,,,,,17,24,17,19,23
Wild Turkey,Leave on Landscape,,,,,,,,,,,1,
Wolf,Leave on Landscape,,,,,,,,5,2,6,21,5
Wood Bison,Leave on Landscape,,,,,,,,1,2,1,3,5
Yellow-bellied Racer,Leave on Landscape,,,1,2,,1,,,,,,
Black Bear,Mark - paint,,,,,,,,1,5,14,2,3
Domestic Dog,Mark - paint,,,,,,,,,1,,,
Elk,Mark - paint,,,,,,,,,1,2,3,1
Grizzly Bear,Mark - paint,,,,,,,,,,1,,
Mule Deer,Mark - paint,,,,,,,,12,5,6,8,11
White-tailed Deer,Mark - paint,,,,,,,,,,1,,
Black Bear,Monitor,,,,,,,,,1,,,
Red Fox,Monitor,,,,,,,,,,1,,
Badger,Monitor - Camera,,,,,,,,,,,1,
Beaver,Monitor - Camera,,,,,,,,,,,1,1
Bighorn Sheep,Monitor - Camera,,,,,,,,,,,,2
Black Bear,Monitor - Camera,,,,,,,,12,16,18,15,6
Cougar,Monitor - Camera,,,,,,,,4,1,3,,6
Coyote,Monitor - Camera,,,,,,,,1,3,3,1,1
Domestic Dog,Monitor - Camera,,,,,,,,1,2,1,,
Elk,Monitor - Camera,,,,,,,,1,,,2,1
Grizzly Bear,Monitor - Camera,,,,,,,,7,3,5,1,
Marten,Monitor - Camera,,,,,,,,,,,1,
Moose,Monitor - Camera,,,,,,,,,1,,,
Mountain Goat,Monitor - Camera,,,,,,,,,,,1,
Mule Deer,Monitor - Camera,,,,,,,,2,1,1,,4
Plains Bison,Monitor - Camera,,,,,,,,1,3,2,,
Red Fox,Monitor - Camera,,,,,,,,,,,,2
Skunk,Monitor - Camera,,,,,,,,,3,,3,
Unknown,Monitor - Camera,,,,,,,,1,,,,1
Unknown bear,Monitor - Camera,,,,,,,,,1,,,
Unknown Myotis bat,Monitor - Camera,,,,,,,,,,,1,
White-tailed Deer,Monitor - Camera,,,,,,,,21,35,50,38,32
Wild Boar,Monitor - Camera,,,,,,,,,,2,,3
Wolf,Monitor - Camera,,,,,,,,8,1,,1,3
Wolverine,Monitor - Camera,,,,,,,,,,,1,
Wood Bison,Monitor - Camera,,,,,,,,,,1,,
American Coot,Monitor - patrol,,,,,,,,,,,1,
American Robin,Monitor - patrol,,1,,,,,,,,,,1
American Tree Sparrow,Monitor - patrol,1,,,,1,,,,,,,
Bald Eagle,Monitor - patrol,,2,,,,,1,3,,,,3
Bank Swallow,Monitor - patrol,1,,,,,,,,,,,
Barn Swallow,Monitor - patrol,,,,,,2,1,1,,,1,1
Barred Owl,Monitor - patrol,,1,1,1,,2,,,,,,
Beaver,Monitor - patrol,2,6,4,,,2,2,,2,2,3,1
Big Brown Bat,Monitor - patrol,,,,1,1,,,,,,,
Bighorn Sheep,Monitor - patrol,8,12,8,12,11,8,12,9,9,9,6,11
Black Bear,Monitor - patrol,174,246,227,144,323,243,284,434,539,682,381,480
Black-tailed deer,Monitor - patrol,1,3,,,,,,2,2,2,2,2
Black-tailed prairie dog,Monitor - patrol,,,,,,,1,,,,1,
Black-throated Sparrow,Monitor - patrol,1,,,,,,,,,,,
Blue Jay,Monitor - patrol,,1,,,,,,,,,,
Boreal Owl,Monitor - patrol,,,,1,,,,,,,,
Brook Trout,Monitor - patrol,,,,,,,,1,,,,
Bullsnake,Monitor - patrol,,,,,,,,,,1,,
Burrowing Owl,Monitor - patrol,,,,,,,1,,,,2,
California Sea Lion,Monitor - patrol,,,,1,,,1,3,2,,1,1
Canada Goose,Monitor - patrol,2,5,1,5,2,36,18,,4,6,1,2
Chipping Sparrow,Monitor - patrol,,,,,1,,,,,,,
Columbian Ground Squirrel,Monitor - patrol,,,1,,,1,,2,,,1,
Common Gartersnake,Monitor - patrol,,,,1,,,,,,1,,1
Common Goldeneye,Monitor - patrol,,,1,,,,,,,,,
Common Loon,Monitor - patrol,1,,,,1,1,2,1,1,,,
Common Merganser,Monitor - patrol,,,,,,,,,,,,1
Common Murre,Monitor - patrol,,,,,,,,,,1,,1
Common Tern,Monitor - patrol,,,,1,,,,,,,,
Cooper's Hawk,Monitor - patrol,,,,1,,,,,,,,
Cougar,Monitor - patrol,8,29,14,5,15,13,13,10,7,9,6,14
Coyote,Monitor - patrol,14,20,12,38,27,28,17,13,19,11,28,4
Crow,Monitor - patrol,1,1,,,,1,2,,1,1,1,
Dark-eyed Junco,Monitor - patrol,,,,,,2,,1,,,1,1
Domestic Bison,Monitor - patrol,,,,,,,1,,,,,
Domestic Cat,Monitor - patrol,2,,,,1,1,2,2,1,,1,
Domestic Cattle,Monitor - patrol,,,,,,,,2,,,,
Domestic Dog,Monitor - patrol,1,3,3,,1,1,2,12,5,3,4,1
Domestic Horse,Monitor - patrol,,,1,,,,,,,1,,
Domestic pig,Monitor - patrol,,,,,,,,,,,1,
Domestic pigeon,Monitor - patrol,,,1,,,,1,,,,,
Domestic Sheep,Monitor - patrol,,,,,,1,1,,,,,
Double-crested Cormorant,Monitor - patrol,,,,,,,,,1,1,,
Downy Woodpecker,Monitor - patrol,1,,,,,,,,,,,
Eastern Foxsnake,Monitor - patrol,,,,1,1,,,,,,,
Eastern Grey Squirrel,Monitor - patrol,,,1,,,,,,,,,
Elk,Monitor - patrol,87,101,75,58,91,97,110,72,80,95,82,85
European rabbit,Monitor - patrol,,1,2,2,11,1,3,,,,,
European Starling,Monitor - patrol,,,,1,,,,,,,,
Field Sparrow,Monitor - patrol,,,,1,1,,,,,,,
Glaucous Gull,Monitor - patrol,,,,,,,,,,1,,
Golden-mantled Ground Squirrel,Monitor - patrol,,,,,,,,,,3,,
Gray Jay,Monitor - patrol,,1,,,,,,,,,,
Great Blue Heron,Monitor - patrol,,1,,,,,,,,1,,
Great Grey Owl,Monitor - patrol,,3,,,1,,,,,,,
Great Horned Owl,Monitor - patrol,1,,,1,,,2,,1,,1,1
Greater Sage-grouse,Monitor - patrol,,,,,,,,,,,,1
Grey Seal,Monitor - patrol,1,2,,,,,,,,,,
Grey Whale,Monitor - patrol,,,2,,,,,,,,1,
Grizzly Bear,Monitor - patrol,114,94,100,98,226,184,322,173,157,172,190,131
Harbour Porpoise,Monitor - patrol,,1,,,,,,,,2,,
Harbour seal,Monitor - patrol,1,,,,,1,,1,3,1,2,3
Harp Seal,Monitor - patrol,,2,,,,,,,,1,,
Herring Gull,Monitor - patrol,,1,,,,,,,,,,1
Hoary Marmot,Monitor - patrol,,,,,1,2,1,,,,1,
Honey bee,Monitor - patrol,,,,,1,,,,,,,
Horned Grebe,Monitor - patrol,,,,1,,,1,,,,,
House Sparrow,Monitor - patrol,,1,2,,1,,,,,,,
Humpback Whale,Monitor - patrol,,1,,,,,1,,1,,,1
Killer Whale,Monitor - patrol,,,,,,,,,,,1,
Least Chipmunk,Monitor - patrol,,,,,1,,,,,,,
Lewis's Woodpecker,Monitor - patrol,,,,,,,1,,,,,
Little Brown Myotis,Monitor - patrol,,1,,,1,,,,,1,,1
Long-beaked Common Dolphin,Monitor - patrol,,,,,1,,,,,,,
Long-eared Owl,Monitor - patrol,,,,1,,,,,,,,
Long-toed Salamander,Monitor - patrol,,,,,,,,,1,,,1
Lynx,Monitor - patrol,,1,1,1,,3,1,,1,3,1,1
Magpie,Monitor - patrol,2,2,3,,2,2,2,,,,1,1
Mallard,Monitor - patrol,,1,,,1,,1,,2,1,2,
Marten,Monitor - patrol,,3,4,3,,3,4,,1,1,,
Massasauga,Monitor - patrol,1,2,,6,,,,,,,,
Merlin,Monitor - patrol,2,,,,,,1,,,,,
Mink,Monitor - patrol,,,,,,1,,,,,,
Minke Whale,Monitor - patrol,1,,,,,,,,,,,
Moose,Monitor - patrol,12,9,13,10,7,13,11,8,12,17,19,9
Mountain Goat,Monitor - patrol,1,2,2,,6,5,5,3,5,8,3,9
Mule Deer,Monitor - patrol,33,23,29,28,18,39,19,25,17,27,16,20
Muskrat,Monitor - patrol,,,,,,,,,,,,1
None,Monitor - patrol,8,15,11,11,13,9,14,7,10,10,14,16
Northern Elephant Seal,Monitor - patrol,,,,,,,,,,1,1,3
Northern Flicker,Monitor - patrol,,,1,,,,,,,,,
Northern Gannet,Monitor - patrol,2,,,,,,,,,,,
Northern Pygmy-Owl,Monitor - patrol,,,,2,,,,,1,,1,
Northern Shoveler,Monitor - patrol,,,,,,,,,,1,,
Osprey,Monitor - patrol,,1,1,,,,,,,,,
Pacific Salmon,Monitor - patrol,,,,,,,,,,,3,
Peregrine Falcon,Monitor - patrol,,,,,,1,,,,,,
Pileated Woodpecker,Monitor - patrol,1,,,1,,,,,,,,
Pine Siskin,Monitor - patrol,,,,,,,1,,,,,
Plains Bison,Monitor - patrol,6,14,10,9,6,12,10,8,8,12,10,5
Polar Bear,Monitor - patrol,,,,,,,,7,17,9,13,
Porcupine,Monitor - patrol,1,,,,,1,,,4,1,1,
Prairie Rattlesnake,Monitor - patrol,,,,,,,,2,1,2,1,
Raccoon,Monitor - patrol,3,7,4,3,2,,4,1,5,,1,
Raven,Monitor - patrol,1,1,1,,,1,3,2,1,,1,1
Red Fox,Monitor - patrol,4,5,14,2,3,3,2,5,7,8,18,10
Red Squirrel,Monitor - patrol,,2,5,3,1,3,3,,1,,,
Red-breasted Merganser,Monitor - patrol,,,,,,,,1,,,,
Red-tailed Hawk,Monitor - patrol,,1,,,,,,,,,,
Richardson's Ground Squirrel,Monitor - patrol,1,,1,,,,1,3,2,1,1,
River Otter,Monitor - patrol,,,,,,,,,,,1,
Rock Pigeon,Monitor - patrol,,2,,,,,2,,,,1,
Ruffed Grouse,Monitor - patrol,,,,,,,,2,,,,
Rufous Hummingbird,Monitor - patrol,,,,1,,,,,,,,
Salmon Shark,Monitor - patrol,,,,,,,,,,,,1
Sea Otter,Monitor - patrol,,,,1,,1,,,,,1,2
Sharp-shinned Hawk,Monitor - patrol,,,,,,,,,1,,,
Shortnose Lancetfish,Monitor - patrol,,,,,,,,,,1,,
Skunk,Monitor - patrol,1,,3,2,1,,3,2,1,,,1
Snapping Turtle,Monitor - patrol,,,,1,,,,,,,,
Snow Goose,Monitor - patrol,,,,,,,,1,,,,
Spruce Grouse,Monitor - patrol,,,,1,,,,,,,,
Steller Sea Lion,Monitor - patrol,2,1,,,1,,1,,2,6,3,2
Surf Scoter,Monitor - patrol,,,,,,,,,,,1,
Swainson's Hawk,Monitor - patrol,,,,,,,1,,,,,
Swainson's Thrush,Monitor - patrol,,1,,,,,,,,,,
Trumpeter swan,Monitor - patrol,1,,,,,1,,1,,,,
Unknown,Monitor - patrol,3,4,1,2,1,3,3,2,3,6,2,2
Unknown bat,Monitor - patrol,,,,,,,2,,4,1,,1
Unknown bear,Monitor - patrol,4,3,4,5,11,7,14,10,20,20,10,5
Unknown bird,Monitor - patrol,2,,2,1,1,,1,3,1,,4,2
Unknown Bison,Monitor - patrol,,,,,,,,,,,,1
Unknown canid,Monitor - patrol,,,,,,,1,2,1,,1,
Unknown deer,Monitor - patrol,5,2,7,,3,6,2,4,9,8,5,6
Unknown Duck,Monitor - patrol,,1,1,,,2,,,3,,,
Unknown fish,Monitor - patrol,,,,1,,,,,,,,1
Unknown grouse,Monitor - patrol,,,,,,,,,,,,1
Unknown gull,Monitor - patrol,,,,1,1,,,,,,,
Unknown Mollusk,Monitor - patrol,,,,,,,,,,,,2
Unknown Mouse,Monitor - patrol,,,,,,,,,,,,1
Unknown mustelid,Monitor - patrol,,,,,,,,,,1,,
Unknown Myotis bat,Monitor - patrol,,,,,,,,,,,3,
Unknown raptor,Monitor - patrol,,,,,,,,1,,1,,
Unknown rodent,Monitor - patrol,,,,,,,,,,,1,
Unknown sea lion,Monitor - patrol,,,,,,1,1,,1,1,1,
Unknown seal,Monitor - patrol,,1,,,,,,,,,,1
Unknown sucker,Monitor - patrol,1,,,,,,,,,,,
Unknown ungulate,Monitor - patrol,,,1,,,1,1,1,,,1,1
Violet-green Swallow,Monitor - patrol,,,,,,,,,,,,1
Wasp,Monitor - patrol,1,,2,5,,,,,3,1,1,5
Western Painted Turtle,Monitor - patrol,,,,,,1,,,,1,,
Western Toad,Monitor - patrol,,,,,,,,,2,,,
White Pelican,Monitor - patrol,1,,,1,,,,1,,,,
White-tailed Deer,Monitor - patrol,8,7,13,11,5,13,14,6,4,11,7,4
Wild Boar,Monitor - patrol,,,,,,,,,,2,,1
Wild Turkey,Monitor - patrol,,,,,,,9,,1,,,
Wolf,Monitor - patrol,9,22,21,14,28,31,79,45,42,39,60,9
Wolverine,Monitor - patrol,,,,,,,,1,,,,
Wood Bison,Monitor - patrol,4,,1,4,2,1,,,,,,
Woodchuck,Monitor - patrol,1,,,,1,,,,,,,
Woodrat,Monitor - patrol,,,,,1,,2,,1,1,1,
Yellow Warbler,Monitor - patrol,,,,1,,,1,,,,,
Badger,Monitor - visitor and staff sighting,,,,,,,1,,1,,,
Bald Eagle,Monitor - visitor and staff sighting,,,,,,,,2,2,,1,4
Barn Swallow,Monitor - visitor and staff sighting,,,,,,,,1,,1,,1
Barred Owl,Monitor - visitor and staff sighting,,,,,,,,,1,,1,1
Beaver,Monitor - visitor and staff sighting,,,,,,,,,2,2,1,2
Big Skate,Monitor - visitor and staff sighting,,,,,,,,,,1,2,1
Bighorn Sheep,Monitor - visitor and staff sighting,,,,,,,,4,6,2,2,4
Black Bear,Monitor - visitor and staff sighting,,,,,,,,233,523,553,258,435
Black-tailed deer,Monitor - visitor and staff sighting,,,,,,,,6,6,4,2,
Black-tailed prairie dog,Monitor - visitor and staff sighting,,,,,,,1,,,,,
Blue Grouse,Monitor - visitor and staff sighting,,,,,,,,,,2,,
Blue Shark,Monitor - visitor and staff sighting,,,,,,,,,1,,,
Brown-headed cowbird,Monitor - visitor and staff sighting,,,,,,,,1,,,,
Bullsnake,Monitor - visitor and staff sighting,,,,,,,,,,1,,
Burrowing Owl,Monitor - visitor and staff sighting,,,,1,,,2,,,,,1
California Sea Lion,Monitor - visitor and staff sighting,,,,,,,,,4,,2,
Canada Goose,Monitor - visitor and staff sighting,,,,,,,,,1,2,1,
Caribou,Monitor - visitor and staff sighting,,,,,,,,1,,,,
Chipping Sparrow,Monitor - visitor and staff sighting,,,,,,,,,,,1,
Columbian Ground Squirrel,Monitor - visitor and staff sighting,,,,,,,,,,,1,1
Common Loon,Monitor - visitor and staff sighting,,,,,,,,,,1,,
Common Merganser,Monitor - visitor and staff sighting,,,,,,,,,,,,1
Common Murre,Monitor - visitor and staff sighting,,,,,,,,,,1,,
Cougar,Monitor - visitor and staff sighting,,,,,,,,22,25,15,8,18
Coyote,Monitor - visitor and staff sighting,,,,,,,,6,14,4,3,2
Crow,Monitor - visitor and staff sighting,,,,,,,,,1,,,
Dall's Porpoise,Monitor - visitor and staff sighting,,,,,,,,,1,,,
Domestic Cat,Monitor - visitor and staff sighting,,,,,,,,,1,,1,2
Domestic Cattle,Monitor - visitor and staff sighting,,,,,,,,,,,1,
Domestic Dog,Monitor - visitor and staff sighting,,,,,,2,1,3,1,3,3,4
Domestic Goat,Monitor - visitor and staff sighting,,,,,,,,,,,1,
Domestic Horse,Monitor - visitor and staff sighting,,,,,,,,1,,,,
Elk,Monitor - visitor and staff sighting,,,,,,,,12,52,47,55,50
Ermine,Monitor - visitor and staff sighting,,,,,,,,,,,1,1
Glaucous Gull,Monitor - visitor and staff sighting,,,,,,,,,,1,,1
Golden Eagle,Monitor - visitor and staff sighting,,,1,,,,,,,,,
Great Blue Heron,Monitor - visitor and staff sighting,,,,,,,,,2,,1,
Great Grey Owl,Monitor - visitor and staff sighting,,,,,,,,,,,1,
Great Horned Owl,Monitor - visitor and staff sighting,,,,,,,,,,,,2
Greater Sage-grouse,Monitor - visitor and staff sighting,,,,,,,,,,,,2
Grey Whale,Monitor - visitor and staff sighting,,,,,,,,,1,3,,
Grizzly Bear,Monitor - visitor and staff sighting,,,,,,,,57,51,51,37,67
Harbour Porpoise,Monitor - visitor and staff sighting,,,,,,,,,,2,1,1
Harbour seal,Monitor - visitor and staff sighting,,,,,,,,,7,7,2,4
Herring Gull,Monitor - visitor and staff sighting,,,,,,,,,1,,,
Hoary Marmot,Monitor - visitor and staff sighting,,,,,,,,,1,,,1
Hooded Seal,Monitor - visitor and staff sighting,,,,,,,,,,,1,
Killer Whale,Monitor - visitor and staff sighting,,,,,,,,,,,2,
Least Weasel,Monitor - visitor and staff sighting,,,,,,,,,,,1,
Little Brown Myotis,Monitor - visitor and staff sighting,,,,,,,,,,2,,
Long-beaked Common Dolphin,Monitor - visitor and staff sighting,,,,,,,,,1,,,
Longnose lancetfish,Monitor - visitor and staff sighting,,,,,,,,,,,,1
Lynx,Monitor - visitor and staff sighting,,,,,,,,,2,,,
Mallard,Monitor - visitor and staff sighting,,,,,,,,1,1,,,1
Marten,Monitor - visitor and staff sighting,,,,,,,,,2,1,1,5
Massasauga,Monitor - visitor and staff sighting,,,,,,,,,,1,,
Mink,Monitor - visitor and staff sighting,,,,,,,,1,,,,
Minke Whale,Monitor - visitor and staff sighting,,,,,,,,,,1,,
Moose,Monitor - visitor and staff sighting,,,,,,,,3,8,12,23,9
Mountain Goat,Monitor - visitor and staff sighting,,,,,,,,,2,4,5,4
Mule Deer,Monitor - visitor and staff sighting,,,,,,1,,7,6,8,29,24
Muskox,Monitor - visitor and staff sighting,,,,,,,,,,,,1
None,Monitor - visitor and staff sighting,,,,,,,,,1,2,1,2
Northern Elephant Seal,Monitor - visitor and staff sighting,,,,,,,,1,2,1,,2
Northern Fur Seal,Monitor - visitor and staff sighting,,,,,,,,,,1,,
Northern Gannet,Monitor - visitor and staff sighting,,,,,,,,,,2,,
Osprey,Monitor - visitor and staff sighting,,,,,,,,,,,1,
Pacific Salmon,Monitor - visitor and staff sighting,,,,,,,,,,,1,
Peregrine Falcon,Monitor - visitor and staff sighting,,,,,,,,,,1,,
Pileated Woodpecker,Monitor - visitor and staff sighting,,,,,,,,,,,,1
Pine Siskin,Monitor - visitor and staff sighting,,,,,,,,,,1,,
Plains Bison,Monitor - visitor and staff sighting,,,2,,,2,4,8,12,5,8,14
Plains Gartersnake,Monitor - visitor and staff sighting,,,,,,,,,,,,1
Polar Bear,Monitor - visitor and staff sighting,,,,,,,,4,4,3,12,
Porcupine,Monitor - visitor and staff sighting,,,,,,1,,1,,,1,
