"month","year","park","ndvi_monthly_mean","scaled_mean_ndvi","residuals"
6,2014,"WAPU",0.375242113872565,0.687621056936283,2.48608540215081
7,2014,"WAPU",0.297121397492293,0.648560698746147,1.75819874506556
8,2014,"WAPU",-0.0204270045188448,0.489786497740578,-0.86382247940935
9,2014,"WAPU",0.0412978107464585,0.520648905373229,-0.354797968901426
10,2014,"WAPU",-0.00509209770186494,0.497453951149068,-0.726359633481833
11,2014,"WAPU",0.0628485125648477,0.531424256282424,-0.205251373034748
12,2014,"WAPU",0.190399618791331,0.595199809395666,0.800919961174368
1,2015,"WAPU",-0.0133873374060958,0.493306331296952,-1.02658892194645
2,2015,"WAPU",0.247843928576629,0.623921964288314,1.21273063856207
3,2015,"WAPU",-0.0290349224021575,0.485482538798921,-0.962765435160199
4,2015,"WAPU",-0.0171952829913853,0.491402358504307,-0.850583876011948
5,2015,"WAPU",-0.0205374642757062,0.489731267862147,-0.918814919520201
6,2015,"WAPU",0.309252214914237,0.654626107457118,1.73152590176167
7,2015,"WAPU",0.185391185730351,0.592695592865175,0.64100418043258
8,2015,"WAPU",-0.0230653289428385,0.488467335528581,-1.05562415683512
9,2015,"WAPU",0.0924090521369243,0.546204526068462,-0.0973186472763458
10,2015,"WAPU",0.0140191278548254,0.507009563927413,-0.717526654429128
11,2015,"WAPU",0.135467521774311,0.567733760887156,0.233243668456671
12,2015,"WAPU",0.190937184072699,0.595468592036349,0.64168608706454
1,2016,"WAPU",-0.0331673834212352,0.483416308289382,-1.26476691673863
2,2016,"WAPU",0.300936434286493,0.650468217143247,1.59763255989522
3,2016,"WAPU",-0.0213572589459684,0.489321370527016,-0.959141769174933
4,2016,"WAPU",-0.0164275707074049,0.491786214646298,-0.905377184392888
5,2016,"WAPU",-0.0266513989024369,0.486674300548782,-1.03923809397166
6,2016,"WAPU",0.328015088817818,0.664007544408909,1.81041389313578
7,2016,"WAPU",0.300087410442128,0.650043705221064,1.5144786541722
8,2016,"WAPU",-0.0261050793900041,0.486947460304998,-1.16301988929755
9,2016,"WAPU",0.0852749329058201,0.54263746645291,-0.222343737320453
10,2016,"WAPU",0.0256324827944404,0.51281624139722,-0.680910147618157
11,2016,"WAPU",0.0555178289842806,0.52775891449214,-0.475689373106993
12,2016,"WAPU",0.184504947780939,0.59225247389047,0.51410110998796
1,2017,"WAPU",-0.03306676638174,0.48346661680913,-1.2528875352337
2,2017,"WAPU",0.430655034542772,0.715327517271386,2.78042522954399
3,2017,"WAPU",-0.0369595998140397,0.48152020009298,-1.05353426113957
4,2017,"WAPU",-0.0196003080639745,0.490199845968013,-0.901967311308166
5,2017,"WAPU",-0.02487137411733,0.487564312941335,-1.00583013699075
6,2017,"WAPU",0.416968152518375,0.708484076259188,2.61459485854758
7,2017,"WAPU",0.261811909690786,0.630905954845393,1.18925420169256
8,2017,"WAPU",-0.0203152382966653,0.489842380851667,-1.10961311886954
9,2017,"WAPU",-0.0297231646473673,0.485138417676316,-1.12663848628155
10,2017,"WAPU",-0.00358906035780209,0.498205469821099,-0.883046639610245
11,2017,"WAPU",0.0931292483567489,0.546564624178374,-0.142912342780499
12,2017,"WAPU",0.242186216975906,0.621093108487953,1.00954785143749
1,2018,"WAPU",-0.0182691921653004,0.49086540391735,-1.0788135013729
2,2018,"WAPU",0.302529268702796,0.651264634351398,1.70409446758141
3,2018,"WAPU",-0.0422279849072482,0.478886007546376,-1.02104360263001
4,2018,"WAPU",-0.0182701007231429,0.490864949638429,-0.818458542487461
5,2018,"WAPU",-0.0325601739025544,0.483719913048723,-1.00473524316089
6,2018,"WAPU",0.326648039791333,0.663324019895666,1.85824010494932
7,2018,"WAPU",0.30156743799837,0.650783718999185,1.57326003695194
8,2018,"WAPU",-0.0213383225963425,0.489330838701829,-1.06749355999715
9,2018,"WAPU",0.110561132164879,0.555280566082439,0.0717594723399167
10,2018,"WAPU",-0.0113884980961035,0.494305750951948,-0.868800493131546
11,2018,"WAPU",0.112933552633401,0.5564667763167,0.0907879462279675
12,2018,"WAPU",0.234622075983477,0.617311037991738,1.00724457987081
1,2019,"WAPU",-0.0213548279274792,0.48932258603626,-1.06487159571898
2,2019,"WAPU",0.205701129498978,0.602850564749489,0.938462504259779
3,2019,"WAPU",-0.040314903575823,0.479842548212088,-0.946900780553239
4,2019,"WAPU",-0.0134983476974743,0.493250826151263,-0.723363157914795
5,2019,"WAPU",-0.0257913651337424,0.487104317433129,-0.902949052072331
6,2019,"WAPU",0.377993953673478,0.688996976836739,2.34870104710747
7,2019,"WAPU",0.250316277520617,0.625158138760308,1.16632007633869
8,2019,"WAPU",-0.0232531163975517,0.488373441801224,-1.04866725747308
9,2019,"WAPU",0.0637394523956337,0.531869726197817,-0.25669154934653
10,2019,"WAPU",-0.0190499357012894,0.490475032149355,-0.869484551757937
11,2019,"WAPU",0.148504010173791,0.574252005086896,0.437800865287994
12,2019,"WAPU",0.220852957722631,0.610426478861316,0.937484416441506
1,2020,"WAPU",-0.0265958889944433,0.486702055502778,-1.11632255816621
2,2020,"WAPU",0.330193523532923,0.665096761766461,1.99927592266862
3,2020,"WAPU",-0.0424433965963717,0.478778301701814,-0.953788559299139
4,2020,"WAPU",-0.0196041868196634,0.490197906590168,-0.764267340443599
5,2020,"WAPU",-0.0358272611538642,0.482086369423068,-0.984802607357302
6,2020,"WAPU",0.333287722356599,0.666643861178299,1.93973900327659
7,2020,"WAPU",0.185074537857371,0.592537268928686,0.603821954985834
8,2020,"WAPU",-0.0198948610563631,0.490052569471818,-1.03544419019728
9,2020,"WAPU",0.0155931946376852,0.507796597318843,-0.642734254693022
10,2020,"WAPU",-0.0147374883362769,0.492631255831862,-0.821819931628457
11,2020,"WAPU",0.0884323382304115,0.544216169115206,-0.0413850450922566
12,2020,"WAPU",0.152607097999718,0.576303548999859,0.371589754316125
1,2021,"WAPU",-0.0270912723937075,0.486454363803146,-1.16572716499733
2,2021,"WAPU",0.302263966132761,0.651131983066381,1.72307455086054
3,2021,"WAPU",-0.0308254389329985,0.484587280533501,-0.886232999017755
4,2021,"WAPU",-0.0241115485024455,0.487944225748777,-0.828742148940044
5,2021,"WAPU",-0.0408795794611864,0.479560210269407,-1.06278462829066
6,2021,"WAPU",0.372981217288215,0.686490608644107,2.24147552757527
7,2021,"WAPU",0.23159067972875,0.615795339864375,0.933572420263717
8,2021,"WAPU",-0.0264139213702575,0.486793039314871,-1.13809187083109
9,2021,"WAPU",-0.0114418960204061,0.494279051989797,-0.894794189534265
10,2021,"WAPU",0.0218373971453963,0.510918698572698,-0.550597803451937
11,2021,"WAPU",0.19190629558304,0.59595314779152,0.776118701338502
12,2021,"WAPU",0.217296887466292,0.608648443733146,0.865265155776329
1,2010,"WATE",0.100760137762225,0.550380068881112,-0.494531070788876
2,2010,"WATE",0.359926785714286,0.679963392857143,1.71078586858767
3,2010,"WATE",0.108130851663796,0.554065425831898,-0.358997633424407
4,2010,"WATE",0.0605192439505055,0.530259621975253,-0.711527375844058
5,2010,"WATE",0.0670389144543025,0.533519457227151,-0.645911456129379
6,2010,"WATE",0.348064687569768,0.674032343784884,1.68812190081664
7,2010,"WATE",0.255438679672859,0.627719339836429,0.872621555593772
8,2010,"WATE",0.0852016454442343,0.542600822722117,-0.561683657229163
9,2010,"WATE",0.0980078527986527,0.549003926399326,-0.503236991848309
10,2010,"WATE",0.124158732308693,0.562079366154347,-0.323423353505008
11,2010,"WATE",0.283775416797782,0.641887708398891,0.9915627780467
