"month","year","park","ndvi_monthly_mean","scaled_mean_ndvi"
12,2017,"GLAC",0.183183078554561,0.59159153927728
1,2018,"GLAC",0.00899972509481828,0.504499862547409
2,2018,"GLAC",0.262333907370267,0.631166953685134
3,2018,"GLAC",-0.00609652357710476,0.496951738211448
4,2018,"GLAC",0.00416633705243647,0.502083168526218
5,2018,"GLAC",-0.00767834120370478,0.496160829398148
6,2018,"GLAC",0.24426828171316,0.62213414085658
7,2018,"GLAC",0.083918556686535,0.541959278343268
8,2018,"GLAC",0.0140185567069502,0.507009278353475
9,2018,"GLAC",0.0493298116523121,0.524664905826156
10,2018,"GLAC",-0.00291207841208581,0.498543960793957
11,2018,"GLAC",0.0659918098234244,0.532995904911712
12,2018,"GLAC",0.0932500000758158,0.546625000037908
1,2019,"GLAC",0.0174056357634793,0.50870281788174
2,2019,"GLAC",0.195670614292402,0.597835307146201
3,2019,"GLAC",-0.0160109715042436,0.491994514247878
4,2019,"GLAC",0.0139067590436886,0.506953379521844
5,2019,"GLAC",-0.00194444902929456,0.499027775485353
6,2019,"GLAC",0.124904089383621,0.562452044691811
7,2019,"GLAC",0.0795987242076966,0.539799362103848
8,2019,"GLAC",0.0216375949139529,0.510818797456976
9,2019,"GLAC",0.0231195117011677,0.511559755850584
10,2019,"GLAC",0.00805518290642089,0.50402759145321
11,2019,"GLAC",0.0307057744830768,0.515352887241538
12,2019,"GLAC",0.107429468906577,0.553714734453288
1,2020,"GLAC",0.0113041924630225,0.505652096231511
2,2020,"GLAC",0.254138741858418,0.627069370929209
3,2020,"GLAC",-0.00527959925356993,0.497360200373215
4,2020,"GLAC",0.00703776436798382,0.503518882183992
5,2020,"GLAC",-0.0115421886864297,0.494228905656785
6,2020,"GLAC",0.148191202759706,0.574095601379853
7,2020,"GLAC",0.0327692439947763,0.516384621997388
8,2020,"GLAC",0.0125092544456967,0.506254627222848
9,2020,"GLAC",0.00854980861787885,0.504274904308939
10,2020,"GLAC",0.00538058048420297,0.502690290242101
11,2020,"GLAC",0.0534122258953201,0.52670611294766
12,2020,"GLAC",0.222704802279037,0.611352401139518
1,2021,"GLAC",0.0141425429693506,0.507071271484675
2,2021,"GLAC",0.168428713281268,0.584214356640634
3,2021,"GLAC",-0.00962660838607252,0.495186695806964
4,2021,"GLAC",0.00899686050241793,0.504498430251209
5,2021,"GLAC",-0.00133695842793447,0.499331520786033
6,2021,"GLAC",0.301749018946713,0.650874509473357
7,2021,"GLAC",0.114727609067434,0.557363804533717
8,2021,"GLAC",0.017138862107874,0.508569431053937
9,2021,"GLAC",0.0207520962195924,0.510376048109796
10,2021,"GLAC",-0.00211986507689542,0.498940067461552
11,2021,"GLAC",0.0486630164118905,0.524331508205945
12,2021,"GLAC",0.119438694170244,0.559719347085122
1,2010,"IVVA",-0.0103712384993931,0.494814380750303
2,2010,"IVVA",0.161664191767754,0.580832095883877
4,2010,"IVVA",-0.0171524140378989,0.491423792981051
6,2010,"IVVA",0.216080048364043,0.608040024182022
7,2010,"IVVA",0.215164178176207,0.607582089088104
8,2010,"IVVA",-0.00502637856603236,0.497486810716984
9,2010,"IVVA",0.0331141808972935,0.516557090448647
10,2010,"IVVA",-0.0336386943560204,0.48318065282199
